Status,Date,Description,Debit,Credit
Cleared,11/26/2024,"ONLINE PAYMENT, THANK YOU",,-144.26
Cleared,11/25/2024,"THINK DIFFUSION INC. HOUSTON TX",20.00,
Cleared,11/25/2024,"GRUBHUB*GHPLUS 8775851085 NY",10.79,
Cleared,11/23/2024,"Roku for Disney Electr 8162728107 DE null XXXXXXXXXXXX4263",15.99,
Cleared,11/23/2024,"APPLE.COM/BILL CUPERTINO CA null XXXXXXXXXXXX1594",2.99,
Cleared,11/22/2024,"WIX.COM 14156399034 CA",2.99,
Cleared,11/22/2024,"ZOOM.US 888-799-9666 SAN JOSE CA null XXXXXXXXXXXX4757",16.37,
Cleared,11/21/2024,"CRYPTOALERTING NEWARK DE null XXXXXXXXXXXX1091",4.99,
Cleared,11/21/2024,"PTC EZ PASS AUTO RE. HARRISBURG PA",60.00,
Cleared,11/21/2024,"FOREIGN TRANSACTION FEE",2.43,
Cleared,11/20/2024,"FANSLY 4439834260 MD",8.00,
Cleared,11/20/2024,"ONLINE PAYMENT, THANK YOU",,-717.92
Cleared,11/20/2024,"CEB/donationalerts.com Amsterdam NLD",10.50,
Cleared,11/17/2024,"IMGNAI SHERIDAN WY null XXXXXXXXXXXX1091",6.90,
Cleared,11/15/2024,"KREA.AI SAN FRANCISCO CA null XXXXXXXXXXXX9030",15.00,
Cleared,11/14/2024,"PANERA SIP CLUB 606283 855-372-6372 NY null XXXXXXXXXXXX7786",13.06,
Cleared,11/09/2024,"SQSP* INV157024732 NEW YORK NY null XXXXXXXXXXXX9438",12.00,
Cleared,11/09/2024,"WIX.COM 1145813183 SAN FRANCISCO CA",348.00,
Cleared,11/09/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",39.18,
Cleared,11/09/2024,"RUTHERFORD BOROUGH MUN OLATHE KS",56.65,
Cleared,11/09/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",108.86,
Cleared,11/08/2024,"SP BROC SHOT LOS ANGELES CA null XXXXXXXXXXXX5356",71.54,
Cleared,11/08/2024,"OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA null XXXXXXXXXXXX1021",21.78,
Cleared,11/07/2024,"ONLINE PAYMENT, THANK YOU",,-833.87
Cleared,11/06/2024,"Account Pro by AOL 8008276364 VA",7.61,
Cleared,11/06/2024,"AMC 9640 ONLINE LEAWOOD KS",24.95,
Cleared,11/05/2024,"SUNDAYS INSURANCE WILMINGTON DE null XXXXXXXXXXXX1091",12.00,
Cleared,11/05/2024,"WIX.COM 1145131829 SAN FRANCISCO CA",2.99,
Cleared,11/05/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",5.43,
Cleared,11/05/2024,"AMZ*Amazon Payments AMZN.COM/BILL WA null XXXXXXXXXXXX5720",481.52,
Cleared,11/04/2024,"NYTIMES* 8006984637 NY",23.00,
Cleared,11/03/2024,"Spotify USA New York NY null XXXXXXXXXXXX8871",16.99,
Cleared,11/01/2024,"AGI*RENTERS/CONDO INS 800-370-1990 FL",12.50,
Cleared,11/01/2024,"OPS*COINMACH 330 WEST NEW YORK NY",2.40,
Cleared,11/01/2024,"ABC*30835-NYSC NEW YORK NY",57.46,
Cleared,11/01/2024,"Google GSUITE_gmdao.or Dublin IRL",81.22,
Cleared,11/01/2024,"PTC EZ PASS AUTO RE. HARRISBURG PA",60.00,
Cleared,10/31/2024,"ONLINE PAYMENT, THANK YOU",,-513.01
Cleared,10/31/2024,"MONEY FOR THE REST OF TUCSON AZ null XXXXXXXXXXXX1091",25.00,
Cleared,10/31/2024,"SQSP* INV155809806 NEW YORK NY null XXXXXXXXXXXX9438",12.00,
Cleared,10/31/2024,"SQSP* INV155809894 NEW YORK NY null XXXXXXXXXXXX9438",12.00,
Cleared,10/30/2024,"BANKLESS NEW YORK NY null XXXXXXXXXXXX1091",22.00,
Cleared,10/30/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",21.75,
Cleared,10/29/2024,"GOOGLE *Google One 650-253-0000 CA",2.99,
Cleared,10/28/2024,"OTT* DROPOUT LOS ANGELES CA null XXXXXXXXXXXX3312",4.99,
Cleared,10/28/2024,"PRX.ORG BRIGHTON MA null XXXXXXXXXXXX4702",7.67,
Cleared,10/28/2024,"GOOGLE *HEADSPACE INC 650-253-0000 CA",13.85,
Cleared,10/25/2024,"GRUBHUB*GHPLUS 8775851085 NY",10.79,
Cleared,10/25/2024,"APPLE.COM/BILL CUPERTINO CA null XXXXXXXXXXXX1594",17.40,
Cleared,10/24/2024,"WIX.COM 1143113937 SAN FRANCISCO CA",121.70,
Cleared,10/23/2024,"OPS*COINMACH 330 WEST NEW YORK NY",5.80,
Cleared,10/23/2024,"Roku for Disney Electr 8162728107 DE null XXXXXXXXXXXX4263",15.99,
Cleared,10/23/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",2.99,
Cleared,10/22/2024,"WIX.COM 14156399034 CA",2.99,
Cleared,10/22/2024,"ZOOM.US 888-799-9666 SAN JOSE CA null XXXXXXXXXXXX4757",16.37,
Cleared,10/21/2024,"CRYPTOALERTING NEWARK DE null XXXXXXXXXXXX1091",4.99,
Cleared,10/21/2024,"CEB/donationalerts.com Amsterdam NLD",10.80,
Cleared,10/21/2024,"FOREIGN TRANSACTION FEE",6.53,
Cleared,10/20/2024,"FANSLY 4439834260 MD",8.00,
Cleared,10/16/2024,"IMGNAI SHERIDAN WY null XXXXXXXXXXXX1091",6.90,
Cleared,10/15/2024,"KREA.AI SAN FRANCISCO CA",15.00,
Cleared,10/15/2024,"PANERA SIP CLUB 606283 855-372-6372 NY null XXXXXXXXXXXX7786",13.06,
Cleared,10/15/2024,"NYCDOT PARKING METERS LONG ISLAND C NY",7.50,
Cleared,10/15/2024,"NYCDOT PARKING METERS LONG ISLAND C NY",7.50,
Cleared,10/08/2024,"OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA null XXXXXXXXXXXX1021",21.78,
Cleared,10/08/2024,"WORK HIVE SLC SALT LAKE CIT UT",25.00,
Cleared,10/07/2024,"ONLINE PAYMENT, THANK YOU",,-291.14
Cleared,10/07/2024,"NYTIMES* 8006984637 NY",23.00,
Cleared,10/07/2024,"UBER *ONE 8005928996 CA null XXXXXXXXXXXX7786",9.99,
Cleared,10/07/2024,"AMC 9640 ONLINE LEAWOOD KS",24.95,
Cleared,10/06/2024,"Account Pro by AOL 8008276364 VA",7.61,
Cleared,10/05/2024,"WIX.COM 1140055503 SAN FRANCISCO CA",2.99,
Cleared,10/05/2024,"SUNDAYS INSURANCE WILMINGTON DE null XXXXXXXXXXXX1091",12.00,
Cleared,10/04/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",59.88,
Cleared,10/03/2024,"Spotify USA New York NY null XXXXXXXXXXXX8871",16.99,
Cleared,10/02/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",47.84,
Cleared,10/02/2024,"PTC EZ PASS AUTO RE. HARRISBURG PA",60.00,
Cleared,10/01/2024,"ONLINE PAYMENT, THANK YOU",,-1075.80
Cleared,10/01/2024,"MONEY FOR THE REST OF TUCSON AZ null XXXXXXXXXXXX1091",25.00,
Cleared,10/01/2024,"AGI*RENTERS/CONDO INS 800-370-1990 FL",12.50,
Cleared,10/01/2024,"ABC*30835-NYSC NEW YORK NY",57.46,
Cleared,10/01/2024,"Google GSUITE_gmdao.or Dublin IRL",71.35,
Cleared,09/30/2024,"BANKLESS NEW YORK NY null XXXXXXXXXXXX1091",22.00,
Cleared,09/29/2024,"QUIP NYC INC. NEW YORK NY null XXXXXXXXXXXX0172",17.44,
Cleared,09/29/2024,"GOOGLE *Google One 650-253-0000 CA",2.99,
Cleared,09/28/2024,"OTT* DROPOUT LOS ANGELES CA null XXXXXXXXXXXX3312",4.99,
Cleared,09/28/2024,"GOOGLE *HEADSPACE INC 650-253-0000 CA",13.85,
Cleared,09/28/2024,"PRX.ORG BRIGHTON MA null XXXXXXXXXXXX4702",7.67,
Cleared,09/28/2024,"DONOTPAY PALO ALTO CA null XXXXXXXXXXXX1297",15.00,
Cleared,09/28/2024,"DONOTPAY PALO ALTO CA null XXXXXXXXXXXX1297",36.00,
Cleared,09/26/2024,"CITY OF DETROIT MUNPL. DETROIT MI",1.00,
Cleared,09/26/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",17.40,
Cleared,09/25/2024,"GRUBHUB*GHPLUS 8775851085 NY",10.79,
Cleared,09/24/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",2.99,
Cleared,09/23/2024,"Roku for Disney Electr 8162728107 DE null XXXXXXXXXXXX4263",13.99,
Cleared,09/22/2024,"WIX.COM 14156399034 CA",2.99,
Cleared,09/22/2024,"ZOOM.US 888-799-9666 SAN JOSE CA null XXXXXXXXXXXX4757",16.37,
Cleared,09/21/2024,"CRYPTOALERTING NEWARK DE null XXXXXXXXXXXX1091",4.99,
Cleared,09/21/2024,"CEB/donationalerts.com Amsterdam NLD",11.20,
Cleared,09/20/2024,"MIDJOURNEY INC. SOUTH SAN FRA CA null XXXXXXXXXXXX7945",,-10.89
Cleared,09/20/2024,"DIABETES CLOUD FZE ABU DHABI ARE null XXXXXXXXXXXX1594",98.20,
Cleared,09/20/2024,"Genova Diagnostics UK +442083367750 GBR",146.50,
Cleared,09/20/2024,"FANSLY 4439834260 MD",8.00,
Cleared,09/20/2024,"MEMBERSHIP FEE SEP 24-AUG 25",0.00,
Cleared,09/20/2024,"FOREIGN TRANSACTION FEE",15.38,
Cleared,09/19/2024,"BROC SHOT LOS ANGELES CA null XXXXXXXXXXXX5356",164.33,
Cleared,09/17/2024,"MIDJOURNEY INC. SOUTH SAN FRA CA null XXXXXXXXXXXX7945",10.89,
Cleared,09/15/2024,"KREA.AI SAN FRANCISCO CA null XXXXXXXXXXXX1091",15.00,
Cleared,09/15/2024,"PANERA SIP CLUB 606283 855-372-6372 NY null XXXXXXXXXXXX7786",13.05,
Cleared,09/15/2024,"IMGNAI SHERIDAN WY null XXXXXXXXXXXX1091",6.90,
Cleared,09/14/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",20.68,
Cleared,09/11/2024,"CITYSUN LIMITED LONDON E2 GBR null XXXXXXXXXXXX1594",21.62,
Cleared,09/09/2024,"ONLINE PAYMENT, THANK YOU",,-1580.25
Cleared,09/09/2024,"NYTIMES* 8006984637 NY",20.00,
Cleared,09/08/2024,"OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA null XXXXXXXXXXXX1021",21.78,
Cleared,09/08/2024,"POKERGO SUBSCRIPTION LAS VEGAS NV null XXXXXXXXXXXX8311",29.99,
Cleared,09/08/2024,"STAGECOACH BUS TICKET GBR null XXXXXXXXXXXX1594",31.78,
Cleared,09/08/2024,"NEBULA SUBSCRIPTION DENVER CO null XXXXXXXXXXXX3508",50.00,
Cleared,09/08/2024,"BOSTON TEA PARTY CHICH EXETER GBR null XXXXXXXXXXXX1594",63.56,
Cleared,09/08/2024,"THE FAT FIG CHICHESTER GBR null XXXXXXXXXXXX1594",5.03,
Cleared,09/08/2024,"Zettle_*Amani kitchen Hitchin GBR null XXXXXXXXXXXX1594",6.89,
Cleared,09/08/2024,"THE FAT FIG CHICHESTER GBR null XXXXXXXXXXXX1594",11.98,
Cleared,09/07/2024,"Symonds Event Bars 4 Bromyard GBR null XXXXXXXXXXXX1594",23.31,
Cleared,09/07/2024,"STAGECOACH BUS TICKET GBR null XXXXXXXXXXXX1594",31.78,
Cleared,09/07/2024,"SIE*PLAYSTATIONNETWORK 800-345-7669 CA",19.59,
Cleared,09/07/2024,"AMC 9640 ONLINE LEAWOOD KS",24.95,
Cleared,09/06/2024,"Account Pro by AOL 8008276364 VA",7.61,
Cleared,09/06/2024,"STAGECOACH BUS TICKET GBR null XXXXXXXXXXXX1594",23.84,
Cleared,09/05/2024,"SUNDAYS INSURANCE WILMINGTON DE null XXXXXXXXXXXX1091",12.00,
Cleared,09/05/2024,"WIX.COM 1134966127 SAN FRANCISCO CA",2.99,
Cleared,09/05/2024,"THE GROCERY LONDON GBR null XXXXXXXXXXXX1594",26.11,
Cleared,09/04/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",25.02,
Cleared,09/04/2024,"Pie Hole London GBR",30.40,
Cleared,09/04/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",36.49,
Cleared,09/03/2024,"Spotify USA New York NY null XXXXXXXXXXXX8871",16.99,
Cleared,09/02/2024,"SIE*PLAYSTATIONNETWORK 800-345-7669 CA",13.05,
Cleared,09/01/2024,"AGI*RENTERS/CONDO INS 800-370-1990 FL",12.50,
Cleared,09/01/2024,"ABC*30835-NYSC NEW YORK NY",57.46,
Cleared,09/01/2024,"Google GSUITE_gmdao.or Dublin IRL",66.22,
Cleared,08/31/2024,"MONEY FOR THE REST OF TUCSON AZ null XXXXXXXXXXXX1091",25.00,
Cleared,08/29/2024,"BANKLESS NEW YORK NY null XXXXXXXXXXXX1091",22.00,
Cleared,08/29/2024,"GURKHA CHEF Newbury GBR null XXXXXXXXXXXX1594",68.13,
Cleared,08/29/2024,"GOOGLE *Google One 650-253-0000 CA",2.99,
Cleared,08/28/2024,"OTT* DROPOUT LOS ANGELES CA null XXXXXXXXXXXX3312",4.99,
Cleared,08/28/2024,"PRX.ORG BRIGHTON MA null XXXXXXXXXXXX4702",7.67,
Cleared,08/28/2024,"GOOGLE *HEADSPACE INC 650-253-0000 CA",13.85,
Cleared,08/27/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",10.86,
Cleared,08/27/2024,"THE GROCERY LONDON GBR null XXXXXXXXXXXX1594",38.56,
Cleared,08/26/2024,"SAVEWAY EXPRESS LONDON GBR null XXXXXXXXXXXX1594",2.98,
Cleared,08/25/2024,"Premier Elm Row Edinburgh GBR null XXXXXXXXXXXX1594",9.25,
Cleared,08/25/2024,"GRUBHUB*GHPLUS 8775851085 NY",10.79,
Cleared,08/24/2024,"SAINSBURYS S/MKTS EDINBURGH SOU GBR null XXXXXXXXXXXX1594",2.18,
Cleared,08/23/2024,"Roku for Disney Electr 8162728107 DE null XXXXXXXXXXXX4263",13.99,
Cleared,08/23/2024,"APPLE.COM/BILL CUPERTINO CA null XXXXXXXXXXXX1594",2.99,
Cleared,08/22/2024,"WIX.COM 14156399034 CA",2.99,
Cleared,08/22/2024,"mygam/donationalerts.c Amsterdam NLD",11.30,
Cleared,08/22/2024,"ZOOM.US 888-799-9666 SAN JOSE CA null XXXXXXXXXXXX4757",16.37,
Cleared,08/22/2024,"MEGANS ISLINGTON LONDON GBR null XXXXXXXXXXXX1594",36.64,
Cleared,08/21/2024,"CRYPTOALERTING NEWARK DE null XXXXXXXXXXXX1091",4.99,
Cleared,08/21/2024,"GYROS LAB LONDON GBR null XXXXXXXXXXXX1594",16.32,
Cleared,08/21/2024,"FOREIGN TRANSACTION FEE",8.61,
Cleared,08/19/2024,"MEGANS ISLINGTON LONDON GBR",81.10,
Cleared,08/18/2024,"The Swan Inn Newbury GBR",34.70,
Cleared,08/17/2024,"MIDJOURNEY INC. SOUTH SAN FRA CA null XXXXXXXXXXXX7945",10.89,
Cleared,08/16/2024,"JOHN RADCLIFF HOSPITAL OXFORD GBR null XXXXXXXXXXXX1594",3.86,
Cleared,08/16/2024,"PANERA SIP CLUB 606283 855-372-6372 NY null XXXXXXXXXXXX7786",13.05,
Cleared,08/15/2024,"JOHN RADCLIFF HOSPITAL OXFORD GBR null XXXXXXXXXXXX1594",7.15,
Cleared,08/15/2024,"KREA.AI SAN FRANCISCO CA null XXXXXXXXXXXX1091",15.00,
Cleared,08/15/2024,"NYX*LtdUK Warrington GBR",1.80,
Cleared,08/15/2024,"NYX*LtdUK Warrington GBR",1.93,
Cleared,08/15/2024,"NYX*LtdUK Warrington GBR",1.93,
Cleared,08/15/2024,"SumUp *Aydin Kececi Oxford GBR null XXXXXXXXXXXX1594",8.37,
Cleared,08/15/2024,"JOHN RADCLIFF HOSPITAL OXFORD GBR null XXXXXXXXXXXX1594",12.36,
Cleared,08/15/2024,"TESCO STORES 6880 HEADINGTON GBR",23.14,
Cleared,08/14/2024,"NYX*LtdUK Warrington GBR",2.57,
Cleared,08/14/2024,"IMGNAI SHERIDAN WY null XXXXXXXXXXXX1091",6.90,
Cleared,08/14/2024,"JOHN RADCLIFF HOSPITAL OXFORD GBR",7.45,
Cleared,08/14/2024,"JOHN RADCLIFF HOSPITAL OXFORD GBR",11.30,
Cleared,08/14/2024,"CO-OP GROUP 350035 Cherwell Driv GBR",26.71,
Cleared,08/13/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",39.18,
Cleared,08/13/2024,"AMZ*Amazon Payments AMZN.COM/BILL WA null XXXXXXXXXXXX5720",63.43,
Cleared,08/12/2024,"Audible*RM1J462V0 8882835051 NJ",14.95,
Cleared,08/11/2024,"NYTimes*NYTimes 8006984637 NY",20.00,
Cleared,08/08/2024,"NEBULA SUBSCRIPTION DENVER CO null XXXXXXXXXXXX3508",5.00,
Cleared,08/08/2024,"OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA null XXXXXXXXXXXX1021",21.78,
Cleared,08/07/2024,"SIE*PLAYSTATIONNETWORK 800-345-7669 CA",19.59,
Cleared,08/07/2024,"AMC 9640 ONLINE LEAWOOD KS",24.95,
Cleared,08/06/2024,"Account Pro by AOL 8008276364 VA",7.61,
Cleared,08/05/2024,"SUNDAYS INSURANCE WILMINGTON DE null XXXXXXXXXXXX1091",12.00,
Cleared,08/05/2024,"WIX.COM 14156399034 CA",2.99,
Cleared,08/04/2024,"APPLE.COM/BILL CUPERTINO CA null XXXXXXXXXXXX1594",17.99,
Cleared,08/03/2024,"Spotify USA New York NY null XXXXXXXXXXXX8871",16.99,
Cleared,08/02/2024,"SIE*PLAYSTATIONNETWORK 800-345-7669 CA",13.05,
Cleared,08/02/2024,"RYANAIR PSI83H0 0 K67X452 IRL null XXXXXXXXXXXX1594",49.00,
Cleared,08/01/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",4.99,
Cleared,08/01/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",4.99,
Cleared,08/01/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",5.99,
Cleared,08/01/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",6.99,
Cleared,08/01/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",6.99,
Cleared,08/01/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",6.99,
Cleared,08/01/2024,"AGI*RENTERS/CONDO INS 800-370-1990 FL",12.50,
Cleared,08/01/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",19.59,
Cleared,08/01/2024,"ABC*30835-NYSC NEW YORK NY",57.46,
Cleared,08/01/2024,"Google GSUITE_gmdao.or Dublin IRL",64.75,
Cleared,07/31/2024,"ONLINE PAYMENT, THANK YOU",,-119.45
Cleared,07/31/2024,"MONEY FOR THE REST OF TUCSON AZ null XXXXXXXXXXXX1091",25.00,
Cleared,07/31/2024,"ALLIANZ INSURANCE 8668843556 VA",125.00,
Cleared,07/29/2024,"BANKLESS NEW YORK NY null XXXXXXXXXXXX1091",22.00,
Cleared,07/29/2024,"GOOGLE *Google One 650-253-0000 CA",2.99,
Cleared,07/28/2024,"ONLINE PAYMENT, THANK YOU",,-632.71
Cleared,07/28/2024,"GOOGLE *HEADSPACE INC 650-253-0000 CA",13.85,
Cleared,07/28/2024,"OTT* DROPOUT LOS ANGELES CA null XXXXXXXXXXXX3312",4.99,
Cleared,07/28/2024,"PRX.ORG BRIGHTON MA null XXXXXXXXXXXX4702",7.67,
Cleared,07/27/2024,"WP CENTER PARKING DPT WHITE PLAINS NY",3.75,
Cleared,07/27/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",9.77,
Cleared,07/27/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",54.43,
Cleared,07/25/2024,"DUNKIN #353590 WAPPINGERS FA NY",3.99,
Cleared,07/25/2024,"GRUBHUBGHPLUS 8775851085 NY",10.79,
Cleared,07/24/2024,"WM SUPERCENTER #1810 FISHKILL NY",9.10,
Cleared,07/24/2024,"mygam/donationalerts.c Amsterdam NLD",11.90,
Cleared,07/23/2024,"Roku for Disney Electr 8162728107 DE null XXXXXXXXXXXX4263",13.99,
Cleared,07/23/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",2.99,
Cleared,07/22/2024,"WIX.COM 1127473517 SAN FRANCISCO CA",2.99,
Cleared,07/22/2024,"ZOOM.US 888-799-9666 SAN JOSE CA null XXXXXXXXXXXX4757",16.37,
Cleared,07/22/2024,"PTC EZ PASS AUTO RE. HARRISBURG PA",60.00,
Cleared,07/21/2024,"CRYPTOALERTING NEWARK DE null XXXXXXXXXXXX1091",4.99,
Cleared,07/20/2024,"PTC EZ PASS AUTO RE. HARRISBURG PA",60.00,
Cleared,07/19/2024,"SP BROC SHOT LOS ANGELES CA null XXXXXXXXXXXX5356",75.30,
Cleared,07/19/2024,"APPLE.COM/BILL CUPERTINO CA null XXXXXXXXXXXX1594",43.54,
Cleared,07/19/2024,"FOREIGN TRANSACTION FEE",3.44,
Cleared,07/18/2024,"ONLYFANS.COM*A 8886880458 FL",15.99,
Cleared,07/17/2024,"MIDJOURNEY INC. SOUTH SAN FRA CA null XXXXXXXXXXXX7945",10.89,
Cleared,07/17/2024,"PANERA SIP CLUB 606283 855-372-6372 NY null XXXXXXXXXXXX7786",13.05,
Cleared,07/16/2024,"AUTOPAY 230520090055445RAUTOPAY AUTO-PMT",,-41.00
Cleared,07/16/2024,"ONLINE PAYMENT, THANK YOU",,-927.06
Cleared,07/16/2024,"OPTICONTACTS.COM 8669825367 WA null XXXXXXXXXXXX1594",194.39,
Cleared,07/16/2024,"LENSCRAFTERS 0170 POUGHKEEPSIE NY null XXXXXXXXXXXX1594",79.00,
Cleared,07/15/2024,"KREA.AI SAN FRANCISCO CA null XXXXXXXXXXXX1091",15.00,
Cleared,07/14/2024,"NYTimes*NYTimes 8006984637 NY",20.00,
Cleared,07/13/2024,"IMGNAI SHERIDAN WY null XXXXXXXXXXXX1091",6.90,
